ds;yhat;yhat_upper
2021-10-23 23:00:00;5.3048923336308915;7.936572003469935
2021-10-23 23:30:00;5.115910968955316;7.320638851119115
2021-10-24 00:00:00;5.02617750493107;7.409803895155676
2021-10-24 00:30:00;5.0293318253925525;7.395481818813676
2021-10-24 01:00:00;5.082122031321019;7.569635915075168
2021-10-24 01:30:00;5.118333182655934;7.619964548552067
2021-10-24 02:00:00;5.068940450465851;7.30190347873736
2021-10-24 02:30:00;4.88296493371714;7.197287138254102
2021-10-24 03:00:00;4.543406220310888;6.8829450728856845
2021-10-24 03:30:00;4.074015226623652;6.390716268231205
2021-10-24 04:00:00;3.5351670569757805;5.830907275419375
2021-10-24 04:30:00;3.0100190250224244;5.4130267526701425
2021-10-24 05:00:00;2.5847083829695143;4.884537887782002
2021-10-24 05:30:00;2.3278755270249767;4.613501099429303
2021-10-24 06:00:00;2.274894041203615;4.588530415887783
2021-10-24 06:30:00;2.420840592090648;4.756163186275087
2021-10-24 07:00:00;2.723825473158985;4.951132921910089
2021-10-24 07:30:00;3.1174919318988366;5.444823188874758
2021-10-24 08:00:00;3.529045273602972;5.851462951624143
2021-10-24 08:30:00;3.8977520472123244;6.235104277152099
2021-10-24 09:00:00;4.188832964930753;6.4567347116045735
2021-10-24 09:30:00;4.399053665698971;6.716575147500407
2021-10-24 10:00:00;4.552706835791659;6.857864991769588
2021-10-24 10:30:00;4.689414660521007;6.995972839069843
2021-10-24 11:00:00;4.847505377150276;7.1148146499038605
2021-10-24 11:30:00;5.047987636781665;7.304728476800462
2021-10-24 12:00:00;5.284005700612476;7.676387771551661
2021-10-24 12:30:00;5.519137741182549;7.702377679845749
2021-10-24 13:00:00;5.695408740422075;8.185095858039949
2021-10-24 13:30:00;5.749108334266137;8.103739982114229
2021-10-24 14:00:00;5.63019815882774;8.083514470061015
2021-10-24 14:30:00;5.319906730772354;7.6057702534659395
2021-10-24 15:00:00;4.8413887281168;6.978964346940711
2021-10-24 15:30:00;4.260021345132683;6.569067106948563
2021-10-24 16:00:00;3.6725896641527926;6.085060447869069
2021-10-24 16:30:00;3.1875702885796233;5.486268239142438
2021-10-24 17:00:00;2.9011677741521362;5.137448637562252
2021-10-24 17:30:00;2.8750283938952927;5.119465303181902
2021-10-24 18:00:00;3.1212928052657647;5.4096767445726694
2021-10-24 18:30:00;3.5988995396795356;6.047089240383235
2021-10-24 19:00:00;4.222256082562107;6.537218379876029
2021-10-24 19:30:00;4.88027538738968;7.2536590058946935
2021-10-24 20:00:00;5.461145578125815;7.817007864560818
2021-10-24 20:30:00;5.876748133044339;8.158431110671351
2021-10-24 21:00:00;6.080747448534874;8.395845532042735
2021-10-24 21:30:00;6.076016520586636;8.361346454834848
2021-10-24 22:00:00;5.909811614481777;8.295514115453864
2021-10-24 22:30:00;5.658245730989322;7.9335947542477925
2021-10-24 23:00:00;5.4043185885106615;7.604542528315288
2021-10-24 23:30:00;5.215337223823236;7.299772536589684
