"Origin","Destination","Speed","HOUR","DATE"
5,10,0.0333333333333333,5,"2021-10-20"
6,7,0.0666666666666667,5,"2021-10-20"
6,8,0.1,5,"2021-10-20"
6,9,0.05,5,"2021-10-20"
6,10,0.05,5,"2021-10-20"
7,8,0.15,5,"2021-10-20"
7,9,0.216666666666667,5,"2021-10-20"
7,10,0.05,5,"2021-10-20"
8,9,0.25,5,"2021-10-20"
8,10,0.0666666666666667,5,"2021-10-20"
9,10,0.2,5,"2021-10-20"
1,2,0.0333333333333333,6,"2021-10-20"
1,3,0.0166666666666667,6,"2021-10-20"
1,4,0.0333333333333333,6,"2021-10-20"
1,6,0.05,6,"2021-10-20"
1,7,0.0666666666666667,6,"2021-10-20"
1,8,0.0333333333333333,6,"2021-10-20"
1,9,0.0333333333333333,6,"2021-10-20"
2,3,0.0333333333333333,6,"2021-10-20"
2,4,0.0666666666666667,6,"2021-10-20"
2,5,0.0333333333333333,6,"2021-10-20"
2,6,0.133333333333333,6,"2021-10-20"
2,7,0.1,6,"2021-10-20"
2,8,0.05,6,"2021-10-20"
2,10,0.0166666666666667,6,"2021-10-20"
3,4,0.0166666666666667,6,"2021-10-20"
3,5,0.0333333333333333,6,"2021-10-20"
3,6,0.0833333333333333,6,"2021-10-20"
3,7,0.05,6,"2021-10-20"
3,8,0.0666666666666667,6,"2021-10-20"
3,9,0.1,6,"2021-10-20"
3,10,0.05,6,"2021-10-20"
4,5,0.0666666666666667,6,"2021-10-20"
4,6,0.1,6,"2021-10-20"
4,7,0.133333333333333,6,"2021-10-20"
4,8,0.0666666666666667,6,"2021-10-20"
4,9,0.133333333333333,6,"2021-10-20"
4,10,0.0666666666666667,6,"2021-10-20"
5,6,0.116666666666667,6,"2021-10-20"
5,7,0.25,6,"2021-10-20"
5,8,0.0833333333333333,6,"2021-10-20"
5,9,0.183333333333333,6,"2021-10-20"
5,10,0.0666666666666667,6,"2021-10-20"
6,7,0.3,6,"2021-10-20"
6,8,0.3,6,"2021-10-20"
6,9,0.25,6,"2021-10-20"
6,10,0.0666666666666667,6,"2021-10-20"
7,8,0.533333333333333,6,"2021-10-20"
7,9,0.4,6,"2021-10-20"
7,10,0.366666666666667,6,"2021-10-20"
8,9,0.516666666666667,6,"2021-10-20"
8,10,0.366666666666667,6,"2021-10-20"
9,10,0.683333333333333,6,"2021-10-20"
1,2,0.05,7,"2021-10-20"
1,3,0.05,7,"2021-10-20"
1,4,0.116666666666667,7,"2021-10-20"
1,5,0.05,7,"2021-10-20"
1,6,0.05,7,"2021-10-20"
1,7,0.133333333333333,7,"2021-10-20"
1,8,0.133333333333333,7,"2021-10-20"
1,9,0.0666666666666667,7,"2021-10-20"
1,10,0.0333333333333333,7,"2021-10-20"
